赵娟	山东大学附属山东省立医院	血液科
荣中厚	山东大学附属山东省立医院	肝胆外科
吴亚光	山东大学附属山东省立医院	肝胆外科
耿文茂	山东大学附属山东省立医院	肝胆外科
秦成坤	山东大学附属山东省立医院	肝胆外科
李锴男	济南军区总医院	肿瘤科
仲晨	济南军区总医院	肿瘤科
王俊	济南军区总医院	肿瘤科
王宝成	济南军区总医院	肿瘤科
毕经旺	济南军区总医院	肿瘤科
赫军	济南军区总医院	急诊科
罗克勤	中山大学孙逸仙纪念医院	急诊科
施旖旎	中山大学孙逸仙纪念医院	急诊科
彭吉才	中山大学孙逸仙纪念医院	急诊科
张国锋	同济大学医学院（同济医院）	普外科
余松林	同济大学医学院（同济医院）	普外科
林锐	同济大学医学院（同济医院）	普外科
赵启成	同济大学医学院（同济医院）	肿瘤内科
易祥华	同济大学医学院（同济医院）	病理科
彭成	解放军456医院	泌尿科
周克亮	解放军456医院	泌尿科
安森胜	解放军456医院	泌尿科
杨节	解放军456医院	泌尿科
韩国平	浙江省杭州萧山医院	放疗科
谢松	浙江省杭州萧山医院	普外科
方红明	浙江省杭州萧山医院	肿瘤内科
李刚	浙江省杭州萧山医院	放疗中心
韩寅权　杭州萧山区特殊康复中心	--
覃珍　浙江大学附属第一医院	儿内科
卢金逵	华东师范大学	青少年健康评价与运动干预教育部重点实验室
尹小俭	华东师范大学	青少年健康评价与运动干预教育部重点实验室
Jiang Jiazhen	日本爱知医科大学	医学科学院
姜永胜	山东省济南市中心医院	普外科
孙少川	山东省济南市中心医院	普外科
刘国勤	山东省济南市中心医院	普外科
延冰	山东省济南市中心医院	普外科
牛军	山东大学齐鲁医院	普外科
陈磊	同济大学附属第十人民医院	普外科
徐蕾	同济大学附属第十人民医院	普外科
王刚	同济大学附属第十人民医院	普外科
杜义恒	上海交大附属上海第一人民医院	泌尿外科
张飞	上海交大附属上海第一人民医院	泌尿外科
Wu Wenbo	上海交大附属上海第一人民医院	泌尿外科
Wang Wei	上海交大附属上海第一人民医院	泌尿外科
李浩	上海交大附属上海第一人民医院	泌尿外科
夏术阶	上海交大附属上海第一人民医院	泌尿外科
刘海涛	上海交大附属上海第一人民医院	泌尿外科
王永传	南通大学肿瘤医院	泌尿科
房长存	山东大学附属齐鲁医院	心外科
申玉文	山东大学附属齐鲁医院	心外科
齐鹏	山东大学附属齐鲁医院	心外科
刘正琴	山东大学附属齐鲁医院	心外科
张敏	山东大学附属齐鲁医院	心外科
庞昕焱	山东大学附属齐鲁医院	心外科
Gong Chen	南通大学附属医院	消化内科
Li　Ji	南通大学附属医院	消化内科
张海峰	南通大学附属医院	消化内科
王靓	南通大学附属医院	消化内科
周国雄	南通大学附属医院	消化内科
刘晓蓉	南通大学	江苏省炎症与药物分子靶标重点实验室
Xue Huaqing	南通大学	江苏省炎症与药物分子靶标重点实验室
Yang Linlin	南通大学	江苏省炎症与药物分子靶标重点实验室
万春华	南通大学	江苏省炎症与药物分子靶标重点实验室
张一心	南通大学肿瘤医院	普外科
陈银基	南京财经大学	粮食储运国家工程实验室
马秀茹	河北医科大学研究生院，白求恩国际和平医院	耳鼻咽喉-头颈外科
李晓明	河北医科大学研究生院，白求恩国际和平医院	耳鼻咽喉-头颈外科
路秀英	白求恩国际和平医院	耳鼻咽喉-头颈外科
李慧	白求恩国际和平医院	耳鼻咽喉-头颈外科
宋琦	白求恩国际和平医院	耳鼻咽喉-头颈外科
贾立峰	白求恩国际和平医院	耳鼻咽喉-头颈外科
宋久刚	解放军第309医院	消化内科
李楠　	解放军第309医院	消化内科
吴凯	解放军第309医院	消化内科
谢华红	第四军医大学西京消化病医院	肿瘤生物学国家重点实验室
邱继刚	复旦大学华东医院	普外科
沈达明	复旦大学华东医院	普外科
黄春锦	复旦大学华东医院	普外科
孙二琳	天津医科大学第二医院天津泌尿外科研究所	泌尿外科
王丽宁	天津医科大学第二医院天津泌尿外科研究所	泌尿外科
王爱香	天津医科大学第二医院天津泌尿外科研究所	泌尿外科
马成泉	天津医科大学第二医院天津泌尿外科研究所	泌尿外科
雷铭德	天津医科大学第二医院天津泌尿外科研究所	泌尿外科
周晓冬	天津医科大学第二医院天津泌尿外科研究所	泌尿外科
卢炳新	天津医科大学第二医院天津泌尿外科研究所	泌尿外科
刘利维	天津医科大学第二医院天津泌尿外科研究所	泌尿外科
孙岩	天津医科大学第二医院天津泌尿外科研究所	泌尿外科
韩瑞发	天津医科大学第二医院天津泌尿外科研究所	泌尿外科
张文博	新乡医学院	生命科学与技术学院
周潜	山东省肿瘤医院	泌尿外科
徐健	山东省肿瘤医院	泌尿外科
王焕昇	山东省肿瘤医院	泌尿外科
杨明山	山东省肿瘤医院	泌尿外科
邹本奎	山东省肿瘤医院	泌尿外科
边家盛	山东省肿瘤医院	泌尿外科
王兴武	山东省肿瘤医院	中心实验室
延俊元	山东省医学科学院附属医院	妇产科
石文双	山东省医学科学院附属医院	妇产科
Liu Yan	山东省医学科学院附属医院	妇产科
潘云燕	山东省医学科学院附属医院	妇产科
任翠丽	济南市第三人民医院	妇产科
张燕玲	济南市第三人民医院	妇产科
张小涛	青岛市肿瘤医院	--
张真	青岛市肿瘤医院	--
马学真	青岛市肿瘤医院	--
辛永宁	青岛市立医院	--
宣世英	青岛市立医院	--
陈永骞	首都医科大学附属北京友谊医院	泌尿外科
田野	首都医科大学附属北京友谊医院	泌尿外科
吉正国	首都医科大学附属北京友谊医院	泌尿外科
刘志　	首都医科大学附属北京友谊医院	泌尿外科
尚东浩	首都医科大学附属北京友谊医院	泌尿外科
刘慧	中南大学湘雅医院	放射科
李文政	中南大学湘雅医院	放射科
陈常勇	中南大学湘雅医院	放射科
裴贻刚	中南大学湘雅医院	放射科
龙学颖	中南大学湘雅医院	放射科
陈冰	解放军空军总医院	妇产科
侯朝晖	解放军空军总医院	妇产科
李春东	解放军空军总医院	妇产科
童英	解放军空军总医院	妇产科
李锐	重庆医科大学附属永川医院	肿瘤科
石学军	重庆医科大学附属永川医院	肿瘤科
Ling Fengyu	重庆医科大学附属永川医院	肿瘤科
王春光	重庆医科大学附属永川医院	肿瘤科
刘俊霞	重庆医科大学附属永川医院	肿瘤科
王维	重庆医科大学附属永川医院	肿瘤科
李明	重庆医科大学附属永川医院	肿瘤科
张勇	上海中医药大学附属普陀医院	肿瘤科
李鳌	上海中医药大学附属普陀医院	肿瘤科
彭维真	上海中医药大学附属普陀医院	肿瘤科
孙珏	上海中医药大学附属普陀医院	肿瘤科
Xu Fangming	上海中医药大学附属普陀医院	肿瘤科
许建华	上海中医药大学附属普陀医院	肿瘤科
姜永胜	山东大学附属济南市中心医院	普外科
齐加芹	山东大学附属济南市中心医院	普外科
沈海玉	山东大学附属济南市中心医院	普外科
孙少川	山东大学附属济南市中心医院	普外科
孟庆华	山东大学附属济南市中心医院	心内科
赵之明	解放军总医院	肝胆外二科
许大彬	解放军总医院	肝胆外二科
李成刚	解放军总医院	肝胆外二科
席浩	北京顺义医院	普外科
郭辉	上海交大附属第六人民医院	泌尿外科
